grid_id,object_id,object_type,size,min_velocity,avg_velocity,max_velocity,x,y,color,cluster_id
102,1,20,504,4.62634754,5.980224813,7.081971547,23,61,red,0
102,2,20,925,0.64516129,2.171098648,13.32503137,84,105,red,0
102,3,20,396,4.885979791,6.160522663,7.764124922,16,62,red,0
102,12,20,1596,2.863267796,5.616104808,7.284313591,-3,61,red,0
102,15,20,820,3.792369582,5.841343959,8.144110179,1,86,red,0
102,17,20,336,4.36176229,6.001661459,7.300913643,5,82,red,0
102,20,20,1960,4.453912197,6.067126204,8.971000454,2,75,red,0
102,24,20,1518,3.472222222,4.818417131,7.232651792,-7,75,red,0
102,29,20,378,2.777777778,4.963908156,7.131495823,0,68,red,0
102,32,20,819,4.453912197,6.433810624,8.029404402,66,101,red,0
102,33,20,836,4.616463737,6.284088387,9.529760046,16,90,red,0
102,34,20,72,5.020765441,6.143889622,7.513851032,37,61,red,0
102,38,20,912,5.12683795,7.020129705,9.874359354,0,85,red,0
102,41,20,620,2.883290647,4.882774916,7.081971547,12,68,red,0
102,42,20,851,4.691051701,6.733634412,8.772565161,-5,82,red,0
102,44,20,968,3.819265821,5.383982371,7.565315765,0,70,red,0
102,48,20,828,4.885979791,6.439845374,7.80141844,25,85,red,0
102,49,20,475,4.422765958,5.632919805,6.680829317,37,61,red,0
102,51,20,527,2.883290647,5.722921596,7.554102983,20,62,red,0
102,53,20,561,2.112676056,4.107027234,7.973254721,19,71,red,0
102,54,20,700,3.846546291,5.524447294,6.680868296,7,85,red,0
102,55,20,540,5.014941711,6.225762139,7.300913643,36,63,red,0
102,59,20,700,3.127367801,5.442322518,7.764124922,10,86,red,0
102,60,20,630,2.945075447,4.788447757,7.131495823,20,74,red,0
102,64,20,578,4.392052306,5.853402836,7.929319069,33,62,red,0
102,66,20,627,3.105649969,5.033922006,7.181717625,17,74,red,0
102,67,20,1470,3.765849515,5.217992383,7.457361792,-4,75,red,0
102,70,20,561,2.883290647,4.912352725,6.680868296,0,73,red,0
102,71,20,561,3.127367801,4.014984066,5.12683795,11,72,red,0
102,72,20,902,0.704225352,6.202111853,12.24303298,58,98,red,0
102,74,20,558,4.453912197,5.897622444,7.284313591,34,63,red,0
102,75,20,943,2.777777778,5.40743487,7.301865348,51,96,red,0
102,79,20,483,2.903595511,4.855393559,6.538684012,10,67,red,0
102,80,20,748,4.283635585,5.144789685,6.492636942,4,83,red,0
102,81,20,448,3.792369582,5.462272323,7.818419502,-3,65,red,0
102,82,20,726,2.325204162,5.480343559,9.395538073,1,85,red,0
102,115,100,60,0.694444444,1.825861893,5.700912172,61,89,green,0
102,117,100,98,0.684931507,1.319330712,4.194929421,35,85,green,0
102,119,20,234,5.637942481,6.510678309,7.250443761,87,110,red,0
102,121,100,24,0.995925044,3.052140987,9.100079598,34,79,green,0
102,122,100,110,0.680272109,1.35200323,5.598790103,7,105,green,0
102,123,100,98,1.002988342,2.949260395,4.41594775,19,102,green,0
102,126,100,36,0.689655172,1.705084307,5.237489129,43,69,green,0
102,133,100,45,0.694444444,2.425988875,13.12158455,87,66,green,0
102,144,100,32,0.689655172,1.436880925,4.285714286,31,97,green,0
102,147,100,40,0.699300699,2.545378647,4.453912197,68,64,green,0
102,150,100,75,1.398601399,2.298290319,3.571428571,84,79,green,0
102,156,100,21,0.699300699,1.390580342,3.642156795,54,70,green,0
102,161,100,27,0.694444444,1.686227658,3.616325896,31,104,green,0
102,168,100,21,0.704225352,2.073546594,5.46171306,17,118,green,0
102,180,100,24,0.684931507,1.585310967,3.668359362,84,62,green,0
102,192,100,20,0.714285714,2.543696495,7.818419502,21,106,green,0
102,207,100,90,0.709219858,3.483975143,10.72644099,28,88,green,0
102,294,20,170,3.127367801,7.040929189,9.878289558,26,80,red,0
102,296,20,520,4.57366017,8.440387483,12.21276168,3,78,red,0
102,298,20,1008,2.211382979,5.991048671,8.448281292,17,72,red,0
102,302,20,195,0.694444444,5.960548767,25.70382712,67,68,red,0
102,304,20,936,6.728250341,7.866527434,9.529760046,50,97,red,0
102,305,20,672,5.163198503,6.735679579,10.17077453,7,69,red,0
102,306,20,391,2.96626304,4.50789155,5.807191022,63,67,red,0
102,313,20,1066,2.180881145,5.846798813,7.929319069,19,74,red,0
102,315,20,702,2.883290647,4.38740121,5.090985937,23,62,red,0
102,317,20,1755,3.565747912,5.270682106,7.352328527,-6,75,red,0
102,319,20,720,2.836879433,4.096275772,6.492636942,38,65,red,0
102,321,20,880,3.540985773,6.174854511,9.090909091,-6,70,red,0
102,324,20,700,2.797202797,5.40117732,7.382045703,-1,61,red,0
102,325,20,925,1.574695759,5.556667254,8.448281292,7,82,red,0
102,326,20,756,2.903595511,4.371762278,6.492636942,4,68,red,0
102,330,20,861,3.149391518,5.109248494,7.181717625,14,88,red,0
102,331,20,748,3.492479119,5.136006129,7.178482587,6,73,red,0
102,337,20,504,2.883290647,5.453634121,7.336718725,15,61,red,0
102,338,20,609,2.521364528,4.564593683,6.422258963,2,66,red,0
102,340,20,1032,3.217363996,6.218514893,11.46395817,41,93,red,0
102,346,20,680,1.585863814,4.268375283,8.710786533,12,72,red,0
102,350,20,578,3.590858812,4.469233901,5.890150894,12,71,red,0
102,353,20,1296,5.766581295,6.669086587,7.818419502,69,101,red,0
102,356,20,1739,1.977921066,5.491277497,8.029404402,88,84,red,0
102,359,20,950,4.283635585,6.796019675,11.72064576,28,91,red,0
102,363,20,1944,4.36176229,5.693140213,7.181717625,-1,72,red,0
102,365,20,814,4.453912197,6.237270674,8.752176303,-3,83,red,0
102,366,20,621,2.945075447,5.47398994,7.081971547,-1,67,red,0
102,369,20,195,4.283635585,6.053392368,8.507360182,31,62,red,0
102,375,20,864,2.883290647,5.469640074,7.232651792,15,75,red,0
102,377,20,714,1.408450704,5.272246517,7.404472701,16,72,red,0
102,381,20,112,2.226956099,4.655950384,6.935815353,71,67,red,0
102,384,20,700,2.005976684,5.712811864,8.029404402,-1,69,red,0
102,385,100,176,0.995925044,0.995925044,0.995925044,90,61,green,0
102,387,100,330,6.38876565,6.38876565,6.38876565,84,120,green,0
102,394,20,660,8.530563363,9.87426032,12.98527388,0,71,red,0
102,396,20,620,6.447233886,9.225239233,11.43582659,2,71,red,0
102,397,20,300,6.680868296,9.632043407,12.07180175,62,68,red,0
102,445,100,315,4.532570225,5.168753562,5.758755534,81,109,green,0
102,447,100,243,0.689655172,1.683798207,4.57366017,75,61,green,0
